quarter,region,platform,subscribers,arpu_usd,revenue,year,q,date,net_adds,is_netflix
2022Q4,APAC_HOTSTAR,Disney+,57.5,0.59,33.925,2022,4,2022-12-31,-0.8999999999999986,0
2023Q1,APAC_HOTSTAR,Disney+,52.9,0.59,31.211,2023,1,2023-03-31,-4.600000000000001,0
2023Q2,APAC_HOTSTAR,Disney+,52.9,0.59,31.211,2023,2,2023-06-30,0.0,0
2023Q3,APAC_HOTSTAR,Disney+,37.6,1.05,39.48,2023,3,2023-09-30,-15.299999999999997,0
2023Q4,APAC_HOTSTAR,Disney+,38.3,1.28,49.024,2023,4,2023-12-31,0.6999999999999957,0
2024Q1,APAC_HOTSTAR,Disney+,36.0,0.7,25.2,2024,1,2024-03-31,-2.299999999999997,0
2022Q4,EMEA_INTL,Disney+,56.1,5.95,333.795,2022,4,2022-12-31,-5.299999999999997,0
2023Q1,EMEA_INTL,Disney+,56.2,6.1,342.82,2023,1,2023-03-31,0.10000000000000142,0
2023Q2,EMEA_INTL,Disney+,58.6,6.17,361.562,2023,2,2023-06-30,2.3999999999999986,0
2023Q3,EMEA_INTL,Disney+,60.2,6.84,411.768,2023,3,2023-09-30,1.6000000000000014,0
2023Q4,EMEA_INTL,Disney+,64.8,5.95,385.56,2023,4,2023-12-31,4.599999999999994,0
2024Q1,EMEA_INTL,Disney+,63.7,6.66,424.242,2024,1,2024-03-31,-1.0999999999999943,0
2022Q4,UCAN,Disney+,46.6,5.95,277.27,2022,4,2022-12-31,2.1000000000000014,0
2023Q1,UCAN,Disney+,46.3,7.14,330.582,2023,1,2023-03-31,-0.30000000000000426,0
2023Q2,UCAN,Disney+,46.0,7.2,331.2,2023,2,2023-06-30,-0.29999999999999716,0
2023Q3,UCAN,Disney+,46.5,7.48,347.82,2023,3,2023-09-30,0.5,0
2023Q4,UCAN,Disney+,54.7,8.15,445.805,2023,4,2023-12-31,8.200000000000003,0
2024Q1,UCAN,Disney+,54.8,8.0,438.4,2024,1,2024-03-31,0.09999999999999432,0
