Date,quarter,region,platform,subscribers,revenue,ARPU,subscriber_growth,is_netflix,treated,event_time,DDD
2019-03-31,2019Q1,APAC,Netflix,12141000,319602000,9.37,,1,0,-17,0
2019-06-30,2019Q2,APAC,Netflix,12942000,349494000,9.29,801000.0,1,0,-16,0
2019-09-30,2019Q3,APAC,Netflix,14485000,382304000,9.29,1543000.0,1,0,-15,0
2019-12-31,2019Q4,APAC,Netflix,16233000,418121000,9.07,1748000.0,1,0,-14,0
2020-03-31,2020Q1,APAC,Netflix,19835000,483660000,8.94,3602000.0,1,0,-13,0
2020-06-30,2020Q2,APAC,Netflix,22492000,569140000,8.96,2657000.0,1,0,-12,0
2020-09-30,2020Q3,APAC,Netflix,23504000,634891000,9.2,1012000.0,1,0,-11,0
2020-12-31,2020Q4,APAC,Netflix,25492000,684609000,9.32,1988000.0,1,0,-10,0
2021-03-31,2021Q1,APAC,Netflix,26853000,762414000,9.71,1361000.0,1,0,-9,0
2021-06-30,2021Q2,APAC,Netflix,27875000,799480000,9.74,1022000.0,1,0,-8,0
2021-09-30,2021Q3,APAC,Netflix,30051000,834002000,9.6,2176000.0,1,0,-7,0
2021-12-31,2021Q4,APAC,Netflix,32632000,870705000,9.26,2581000.0,1,0,-6,0
2022-03-31,2022Q1,APAC,Netflix,33719000,916754000,9.21,1087000.0,1,0,-5,0
2022-06-30,2022Q2,APAC,Netflix,34799000,907719000,8.83,1080000.0,1,0,-4,0
2022-09-30,2022Q3,APAC,Netflix,36228000,889037000,8.34,1429000.0,1,0,-3,0
2022-12-31,2022Q4,APAC,Netflix,38023000,856711000,7.69,1795000.0,1,0,-2,0
2023-03-31,2023Q1,APAC,Netflix,39478000,933523000,8.03,1455000.0,1,0,-1,0
2023-06-30,2023Q2,APAC,Netflix,40546000,919273000,7.66,1068000.0,1,1,0,1
2023-09-30,2023Q3,APAC,Netflix,42427000,948216000,7.62,1881000.0,1,1,1,1
2023-12-31,2023Q4,APAC,Netflix,45338000,962715000,7.31,2911000.0,1,1,2,1
2024-03-31,2024Q1,APAC,Netflix,47495000,1022924000,7.35,2157000.0,1,1,3,1
2019-03-31,2019Q1,EMEA,Netflix,42542000,1233379000,10.23,,1,0,-16,0
2019-06-30,2019Q2,EMEA,Netflix,44229000,1319087000,10.13,1687000.0,1,0,-15,0
2019-09-30,2019Q3,EMEA,Netflix,47355000,1428040000,10.4,3126000.0,1,0,-14,0
2019-12-31,2019Q4,EMEA,Netflix,51778000,1562561000,10.51,4423000.0,1,0,-13,0
2020-03-31,2020Q1,EMEA,Netflix,58734000,1723474000,10.4,6956000.0,1,0,-12,0
2020-06-30,2020Q2,EMEA,Netflix,61483000,1892537000,10.5,2749000.0,1,0,-11,0
2020-09-30,2020Q3,EMEA,Netflix,62242000,2019083000,10.88,759000.0,1,0,-10,0
2020-12-31,2020Q4,EMEA,Netflix,66698000,2137158000,11.05,4456000.0,1,0,-9,0
2021-03-31,2021Q1,EMEA,Netflix,68508000,2343674000,11.56,1810000.0,1,0,-8,0
2021-06-30,2021Q2,EMEA,Netflix,68696000,2400480000,11.66,188000.0,1,0,-7,0
2021-09-30,2021Q3,EMEA,Netflix,70500000,2432239000,11.65,1804000.0,1,0,-6,0
2021-12-31,2021Q4,EMEA,Netflix,74036000,2523426000,11.64,3536000.0,1,0,-5,0
2022-03-31,2022Q1,EMEA,Netflix,73733000,2561831000,11.56,-303000.0,1,0,-4,0
2022-06-30,2022Q2,EMEA,Netflix,72966000,2457235000,11.17,-767000.0,1,0,-3,0
2022-09-30,2022Q3,EMEA,Netflix,73534000,2375814000,10.81,568000.0,1,0,-2,0
2022-12-31,2022Q4,EMEA,Netflix,76729000,2350135000,10.43,3195000.0,1,0,-1,0
2023-03-31,2023Q1,EMEA,Netflix,77373000,2517641000,10.89,644000.0,1,1,0,1
2023-06-30,2023Q2,EMEA,Netflix,79807000,2562170000,10.87,2434000.0,1,1,1,1
2023-09-30,2023Q3,EMEA,Netflix,83760000,2693146000,10.98,3953000.0,1,1,2,1
2023-12-31,2023Q4,EMEA,Netflix,88813000,2783530000,10.75,5053000.0,1,1,3,1
2024-03-31,2024Q1,EMEA,Netflix,91729000,2958153000,10.92,2916000.0,1,1,4,1
2019-03-31,2019Q1,LATAM,Netflix,27547000,630472000,7.84,,1,0,-14,0
2019-06-30,2019Q2,LATAM,Netflix,27890000,677136000,8.14,343000.0,1,0,-13,0
2019-09-30,2019Q3,LATAM,Netflix,29380000,741434000,8.63,1490000.0,1,0,-12,0
2019-12-31,2019Q4,LATAM,Netflix,31417000,746392000,8.18,2037000.0,1,0,-11,0
2020-03-31,2020Q1,LATAM,Netflix,34318000,793453000,8.05,2901000.0,1,0,-10,0
2020-06-30,2020Q2,LATAM,Netflix,36068000,785368000,7.44,1750000.0,1,0,-9,0
2020-09-30,2020Q3,LATAM,Netflix,36324000,789384000,7.27,256000.0,1,0,-8,0
2020-12-31,2020Q4,LATAM,Netflix,37537000,788522000,7.12,1213000.0,1,0,-7,0
2021-03-31,2021Q1,LATAM,Netflix,37894000,836647000,7.39,357000.0,1,0,-6,0
2021-06-30,2021Q2,LATAM,Netflix,38658000,860882000,7.5,764000.0,1,0,-5,0
2021-09-30,2021Q3,LATAM,Netflix,38988000,915297000,7.86,330000.0,1,0,-4,0
2021-12-31,2021Q4,LATAM,Netflix,39961000,964150000,8.14,973000.0,1,0,-3,0
2022-03-31,2022Q1,LATAM,Netflix,39610000,998948000,8.37,-351000.0,1,0,-2,0
2022-06-30,2022Q2,LATAM,Netflix,39624000,1030234000,8.67,14000.0,1,0,-1,0
2022-09-30,2022Q3,LATAM,Netflix,39936000,1023945000,8.58,312000.0,1,1,0,1
2022-12-31,2022Q4,LATAM,Netflix,41699000,1016846000,8.3,1763000.0,1,1,1,1
2023-03-31,2023Q1,LATAM,Netflix,41249000,1070192000,8.6,-450000.0,1,1,2,1
2023-06-30,2023Q2,LATAM,Netflix,42466000,1077435000,8.58,1217000.0,1,1,3,1
2023-09-30,2023Q3,LATAM,Netflix,43645000,1142811000,8.85,1179000.0,1,1,4,1
2023-12-31,2023Q4,LATAM,Netflix,45997000,1156023000,8.6,2352000.0,1,1,5,1
2024-03-31,2024Q1,LATAM,Netflix,47720000,1165008000,8.29,1723000.0,1,1,6,1
2019-03-31,2019Q1,UCAN,Netflix,66633000,2256851000,11.45,,1,0,-17,0
2019-06-30,2019Q2,UCAN,Netflix,66501000,2501199000,12.52,-132000.0,1,0,-16,0
2019-09-30,2019Q3,UCAN,Netflix,67114000,2621250000,13.08,613000.0,1,0,-15,0
2019-12-31,2019Q4,UCAN,Netflix,67662000,2671908000,13.22,548000.0,1,0,-14,0
2020-03-31,2020Q1,UCAN,Netflix,69969000,2702776000,13.09,2307000.0,1,0,-13,0
2020-06-30,2020Q2,UCAN,Netflix,72904000,2839670000,13.25,2935000.0,1,0,-12,0
2020-09-30,2020Q3,UCAN,Netflix,73081000,2933445000,13.4,177000.0,1,0,-11,0
2020-12-31,2020Q4,UCAN,Netflix,73936000,2979505000,13.51,855000.0,1,0,-10,0
2021-03-31,2021Q1,UCAN,Netflix,74384000,3170972000,14.25,448000.0,1,0,-9,0
2021-06-30,2021Q2,UCAN,Netflix,73951000,3234643000,14.54,-433000.0,1,0,-8,0
2021-09-30,2021Q3,UCAN,Netflix,74024000,3257697000,14.68,73000.0,1,0,-7,0
2021-12-31,2021Q4,UCAN,Netflix,75215000,3308788000,14.78,1191000.0,1,0,-6,0
2022-03-31,2022Q1,UCAN,Netflix,74579000,3350424000,14.91,-636000.0,1,0,-5,0
2022-06-30,2022Q2,UCAN,Netflix,73283000,3537863000,15.95,-1296000.0,1,0,-4,0
2022-09-30,2022Q3,UCAN,Netflix,73387000,3601565000,16.37,104000.0,1,0,-3,0
2022-12-31,2022Q4,UCAN,Netflix,74296000,3594791000,16.23,909000.0,1,0,-2,0
2023-03-31,2023Q1,UCAN,Netflix,74398000,3608645000,16.18,102000.0,1,0,-1,0
2023-06-30,2023Q2,UCAN,Netflix,75571000,3599448000,16.0,1173000.0,1,1,0,1
2023-09-30,2023Q3,UCAN,Netflix,77321000,3735133000,16.29,1750000.0,1,1,1,1
2023-12-31,2023Q4,UCAN,Netflix,80128000,3594791000,16.64,2807000.0,1,1,2,1
2024-03-31,2024Q1,UCAN,Netflix,82658000,4224315000,17.3,2530000.0,1,1,3,1
